"","site_name","datetime","salinity"
"1","YRK",2023-08-01 09:45:00,23.41
"2","YRK",2023-08-01 10:00:00,23.41
"3","YRK",2023-08-01 10:15:00,23.39
"4","YRK",2023-08-01 10:30:00,23.35
"5","YRK",2023-08-01 10:45:00,23.18
"6","YRK",2023-08-01 11:00:00,22.91
"7","YRK",2023-08-01 11:15:00,22.84
"8","YRK",2023-08-01 11:30:00,22.86
"9","YRK",2023-08-01 11:45:00,23.03
"10","YRK",2023-08-01 12:00:00,23.21
"11","YRK",2023-08-01 12:15:00,23.2
"12","YRK",2023-08-01 12:30:00,23.23
"13","YRK",2023-08-01 12:45:00,23.34
"14","YRK",2023-08-01 13:00:00,23.6
"15","YRK",2023-08-01 13:15:00,23.15
"16","YRK",2023-08-01 13:30:00,23.06
"17","YRK",2023-08-01 13:45:00,23.07
"18","YRK",2023-08-01 14:00:00,23.12
"19","YRK",2023-08-01 14:15:00,23.19
"20","YRK",2023-08-01 14:30:00,23.21
"21","YRK",2023-08-01 14:45:00,23.27
"22","YRK",2023-08-01 15:00:00,23.26
"23","YRK",2023-08-01 15:15:00,23.26
"24","YRK",2023-08-01 15:30:00,23.22
"25","YRK",2023-08-01 15:45:00,23.15
"26","YRK",2023-08-01 16:00:00,23.07
"27","YRK",2023-08-01 16:15:00,23.11
"28","YRK",2023-08-01 16:30:00,23.27
"29","YRK",2023-08-01 16:45:00,23.22
"30","YRK",2023-08-01 17:00:00,23.24
"31","YRK",2023-08-01 17:15:00,23.21
"32","YRK",2023-08-01 17:30:00,23.17
"33","YRK",2023-08-01 17:45:00,23.07
"34","YRK",2023-08-01 18:00:00,23.23
"35","YRK",2023-08-01 18:15:00,23.35
"36","YRK",2023-08-01 18:30:00,23.4
"37","YRK",2023-08-01 18:45:00,23.37
"38","YRK",2023-08-01 19:00:00,23.34
"39","YRK",2023-08-01 19:15:00,23.28
"40","YRK",2023-08-01 19:30:00,23.22
"41","YRK",2023-08-01 19:45:00,23.2
"42","YRK",2023-08-01 20:00:00,23.2
"43","YRK",2023-08-01 20:15:00,23.18
"44","YRK",2023-08-01 20:30:00,23.14
"45","YRK",2023-08-01 20:45:00,23.11
"46","YRK",2023-08-01 21:00:00,23.09
"47","YRK",2023-08-01 21:15:00,23.25
"48","YRK",2023-08-01 21:30:00,23.3
"49","YRK",2023-08-01 21:45:00,23.31
"50","YRK",2023-08-01 22:00:00,23.28
"51","YRK",2023-08-01 22:15:00,23.28
"52","YRK",2023-08-01 22:30:00,23.23
"53","YRK",2023-08-01 22:45:00,23.22
"54","YRK",2023-08-01 23:00:00,23.25
"55","YRK",2023-08-01 23:15:00,23.24
"56","YRK",2023-08-01 23:30:00,23.17
"57","YRK",2023-08-01 23:45:00,23.17
"58","YRK",2023-08-02,23.2
"59","YRK",2023-08-02 00:15:00,23.15
"60","YRK",2023-08-02 00:30:00,23.14
"61","YRK",2023-08-02 00:45:00,23.13
"62","YRK",2023-08-02 01:00:00,23.2
"63","YRK",2023-08-02 01:15:00,23.41
"64","YRK",2023-08-02 01:30:00,23.26
"65","YRK",2023-08-02 01:45:00,23.25
"66","YRK",2023-08-02 02:00:00,23.24
"67","YRK",2023-08-02 02:15:00,23.24
"68","YRK",2023-08-02 02:30:00,23.24
"69","YRK",2023-08-02 02:45:00,23.24
"70","YRK",2023-08-02 03:00:00,23.24
"71","YRK",2023-08-02 03:15:00,23.24
"72","YRK",2023-08-02 03:30:00,23.22
"73","YRK",2023-08-02 03:45:00,23.23
"74","YRK",2023-08-02 04:00:00,23.24
"75","YRK",2023-08-02 04:15:00,23.23
"76","YRK",2023-08-02 04:30:00,23.21
"77","YRK",2023-08-02 04:45:00,23.19
"78","YRK",2023-08-02 05:00:00,23.21
"79","YRK",2023-08-02 05:15:00,23.2
"80","YRK",2023-08-02 05:30:00,23.19
"81","YRK",2023-08-02 05:45:00,23.12
"82","YRK",2023-08-02 06:00:00,23.1
"83","YRK",2023-08-02 06:15:00,23.09
"84","YRK",2023-08-02 06:30:00,23.09
"85","YRK",2023-08-02 06:45:00,23.07
"86","YRK",2023-08-02 07:00:00,23.09
"87","YRK",2023-08-02 07:15:00,23.09
"88","YRK",2023-08-02 07:30:00,23.07
"89","YRK",2023-08-02 07:45:00,23.07
"90","YRK",2023-08-02 08:00:00,23.04
"91","YRK",2023-08-02 08:15:00,23.07
"92","YRK",2023-08-02 08:30:00,23.09
"93","YRK",2023-08-02 08:45:00,23.11
"94","YRK",2023-08-02 09:00:00,23.16
"95","YRK",2023-08-02 09:15:00,23.18
"96","YRK",2023-08-02 09:30:00,23.22
"97","YRK",2023-08-02 09:45:00,23.22
"98","YRK",2023-08-02 10:00:00,23.19
"99","YRK",2023-08-02 10:15:00,23.17
"100","YRK",2023-08-02 10:30:00,23.17
"101","YRK",2023-08-02 10:45:00,23.17
"102","YRK",2023-08-02 11:00:00,23.16
"103","YRK",2023-08-02 11:15:00,23.19
"104","YRK",2023-08-02 11:30:00,23.21
"105","YRK",2023-08-02 11:45:00,23.25
"106","YRK",2023-08-02 12:00:00,23.26
"107","YRK",2023-08-02 12:15:00,23.26
"108","YRK",2023-08-02 12:30:00,23.2
"109","YRK",2023-08-02 12:45:00,23.19
"110","YRK",2023-08-02 13:00:00,23.19
"111","YRK",2023-08-02 13:15:00,23.19
"112","YRK",2023-08-02 13:30:00,23.21
"113","YRK",2023-08-02 13:45:00,23.22
"114","YRK",2023-08-02 14:00:00,23.21
"115","YRK",2023-08-02 14:15:00,23.21
"116","YRK",2023-08-02 14:30:00,23.22
"117","YRK",2023-08-02 14:45:00,23.21
"118","YRK",2023-08-02 15:00:00,23.21
"119","YRK",2023-08-02 15:15:00,23.21
"120","YRK",2023-08-02 15:30:00,23.21
"121","YRK",2023-08-02 15:45:00,23.22
"122","YRK",2023-08-02 16:00:00,23.19
"123","YRK",2023-08-02 16:15:00,23.17
"124","YRK",2023-08-02 16:30:00,23.14
"125","YRK",2023-08-02 16:45:00,23.09
"126","YRK",2023-08-02 17:00:00,23.06
"127","YRK",2023-08-02 17:15:00,23
"128","YRK",2023-08-02 17:30:00,22.95
"129","YRK",2023-08-02 17:45:00,22.89
"130","YRK",2023-08-02 18:00:00,22.89
"131","YRK",2023-08-02 18:15:00,22.89
"132","YRK",2023-08-02 18:30:00,22.94
"133","YRK",2023-08-02 18:45:00,23.09
"134","YRK",2023-08-02 19:00:00,23.18
"135","YRK",2023-08-02 19:15:00,23.16
"136","YRK",2023-08-02 19:30:00,23.13
"137","YRK",2023-08-02 19:45:00,23.09
"138","YRK",2023-08-02 20:00:00,23.14
"139","YRK",2023-08-02 20:15:00,23.17
"140","YRK",2023-08-02 20:30:00,23.19
"141","YRK",2023-08-02 20:45:00,23.2
"142","YRK",2023-08-02 21:00:00,23.22
"143","YRK",2023-08-02 21:15:00,23.2
"144","YRK",2023-08-02 21:30:00,23.19
"145","YRK",2023-08-02 21:45:00,23.18
"146","YRK",2023-08-02 22:00:00,23.17
"147","YRK",2023-08-02 22:15:00,23.17
"148","YRK",2023-08-02 22:30:00,23.17
"149","YRK",2023-08-02 22:45:00,23.17
"150","YRK",2023-08-02 23:00:00,23.16
"151","YRK",2023-08-02 23:15:00,23.16
"152","YRK",2023-08-02 23:30:00,23.17
"153","YRK",2023-08-02 23:45:00,23.16
"154","YRK",2023-08-03,23.31
"155","YRK",2023-08-03 00:15:00,23.3
"156","YRK",2023-08-03 00:30:00,23.3
"157","YRK",2023-08-03 00:45:00,23.29
"158","YRK",2023-08-03 01:00:00,23.29
"159","YRK",2023-08-03 01:15:00,23.27
"160","YRK",2023-08-03 01:30:00,23.28
"161","YRK",2023-08-03 01:45:00,23.28
"162","YRK",2023-08-03 02:00:00,23.26
"163","YRK",2023-08-03 02:15:00,23.27
"164","YRK",2023-08-03 02:30:00,23.26
"165","YRK",2023-08-03 02:45:00,23.24
"166","YRK",2023-08-03 03:00:00,23.24
"167","YRK",2023-08-03 03:15:00,23.24
"168","YRK",2023-08-03 03:30:00,23.24
"169","YRK",2023-08-03 03:45:00,23.22
"170","YRK",2023-08-03 04:00:00,23.23
"171","YRK",2023-08-03 04:15:00,23.22
"172","YRK",2023-08-03 04:30:00,23.23
"173","YRK",2023-08-03 04:45:00,23.23
"174","YRK",2023-08-03 05:00:00,23.26
"175","YRK",2023-08-03 05:15:00,23.18
"176","YRK",2023-08-03 05:30:00,23.15
"177","YRK",2023-08-03 05:45:00,23.17
"178","YRK",2023-08-03 06:00:00,23.23
"179","YRK",2023-08-03 06:15:00,23.19
"180","YRK",2023-08-03 06:30:00,23.08
"181","YRK",2023-08-03 06:45:00,23.07
"182","YRK",2023-08-03 07:00:00,23.05
"183","YRK",2023-08-03 07:15:00,23.04
"184","YRK",2023-08-03 07:30:00,23.06
"185","YRK",2023-08-03 07:45:00,23.11
"186","YRK",2023-08-03 08:00:00,23.19
"187","YRK",2023-08-03 08:15:00,23.21
"188","YRK",2023-08-03 08:30:00,23.2
"189","YRK",2023-08-03 08:45:00,23.19
"190","YRK",2023-08-03 09:00:00,23.19
"191","YRK",2023-08-03 09:15:00,23.2
"192","YRK",2023-08-03 09:30:00,23.28
"193","YRK",2023-08-03 09:45:00,23.35
"194","YRK",2023-08-03 10:00:00,23.36
"195","YRK",2023-08-03 10:15:00,23.36
"196","YRK",2023-08-03 10:30:00,23.37
"197","YRK",2023-08-03 10:45:00,23.38
"198","YRK",2023-08-03 11:00:00,23.38
"199","YRK",2023-08-03 11:15:00,23.39
"200","YRK",2023-08-03 11:30:00,23.39
"201","YRK",2023-08-03 11:45:00,23.37
"202","YRK",2023-08-03 12:00:00,23.37
"203","YRK",2023-08-03 12:15:00,23.35
"204","YRK",2023-08-03 12:30:00,23.32
"205","YRK",2023-08-03 12:45:00,23.23
"206","YRK",2023-08-03 13:00:00,23.19
"207","YRK",2023-08-03 13:15:00,23.2
"208","YRK",2023-08-03 13:30:00,23.2
"209","YRK",2023-08-03 13:45:00,23.2
"210","YRK",2023-08-03 14:00:00,23.2
"211","YRK",2023-08-03 14:15:00,23.2
"212","YRK",2023-08-03 14:30:00,23.19
"213","YRK",2023-08-03 14:45:00,23.19
"214","YRK",2023-08-03 15:00:00,23.15
"215","YRK",2023-08-03 15:15:00,23.15
"216","YRK",2023-08-03 15:30:00,23.11
"217","YRK",2023-08-03 15:45:00,23.16
"218","YRK",2023-08-03 16:00:00,23.15
"219","YRK",2023-08-03 16:15:00,23.15
"220","YRK",2023-08-03 16:30:00,23.15
"221","YRK",2023-08-03 16:45:00,23.15
"222","YRK",2023-08-03 17:00:00,23.15
"223","YRK",2023-08-03 17:15:00,23.15
"224","YRK",2023-08-03 17:30:00,23.13
"225","YRK",2023-08-03 17:45:00,23.17
"226","YRK",2023-08-03 18:00:00,23.21
"227","YRK",2023-08-03 18:15:00,23.23
"228","YRK",2023-08-03 18:30:00,23.25
"229","YRK",2023-08-03 18:45:00,23.21
"230","YRK",2023-08-03 19:00:00,23.12
"231","YRK",2023-08-03 19:15:00,23.09
"232","YRK",2023-08-03 19:30:00,23.1
"233","YRK",2023-08-03 19:45:00,23.07
"234","YRK",2023-08-03 20:00:00,23.1
"235","YRK",2023-08-03 20:15:00,23.13
"236","YRK",2023-08-03 20:30:00,23.14
"237","YRK",2023-08-03 20:45:00,23.18
"238","YRK",2023-08-03 21:00:00,23.18
"239","YRK",2023-08-03 21:15:00,23.21
"240","YRK",2023-08-03 21:30:00,23.28
"241","YRK",2023-08-03 21:45:00,23.29
"242","YRK",2023-08-03 22:00:00,23.29
"243","YRK",2023-08-03 22:15:00,23.29
"244","YRK",2023-08-03 22:30:00,23.31
"245","YRK",2023-08-03 22:45:00,23.32
"246","YRK",2023-08-03 23:00:00,23.3
"247","YRK",2023-08-03 23:15:00,23.32
"248","YRK",2023-08-03 23:30:00,23.29
"249","YRK",2023-08-03 23:45:00,23.27
"250","YRK",2023-08-04,23.27
"251","YRK",2023-08-04 00:15:00,23.26
"252","YRK",2023-08-04 00:30:00,23.25
"253","YRK",2023-08-04 00:45:00,23.27
"254","YRK",2023-08-04 01:00:00,23.29
"255","YRK",2023-08-04 01:15:00,23.26
"256","YRK",2023-08-04 01:30:00,23.16
"257","YRK",2023-08-04 01:45:00,23.14
"258","YRK",2023-08-04 02:00:00,23.14
"259","YRK",2023-08-04 02:15:00,23.15
"260","YRK",2023-08-04 02:30:00,23.15
"261","YRK",2023-08-04 02:45:00,23.15
"262","YRK",2023-08-04 03:00:00,23.13
"263","YRK",2023-08-04 03:15:00,23.12
"264","YRK",2023-08-04 03:30:00,23.12
"265","YRK",2023-08-04 03:45:00,23.12
"266","YRK",2023-08-04 04:00:00,23.1
"267","YRK",2023-08-04 04:15:00,23.1
"268","YRK",2023-08-04 04:30:00,23.08
"269","YRK",2023-08-04 04:45:00,23.06
"270","YRK",2023-08-04 05:00:00,23.02
"271","YRK",2023-08-04 05:15:00,22.97
"272","YRK",2023-08-04 05:30:00,22.93
"273","YRK",2023-08-04 05:45:00,22.85
"274","YRK",2023-08-04 06:00:00,22.84
"275","YRK",2023-08-04 06:15:00,22.84
"276","YRK",2023-08-04 06:30:00,22.84
"277","YRK",2023-08-04 06:45:00,22.77
"278","YRK",2023-08-04 07:00:00,22.71
"279","YRK",2023-08-04 07:15:00,22.63
"280","YRK",2023-08-04 07:30:00,22.59
"281","YRK",2023-08-04 07:45:00,22.61
"282","YRK",2023-08-04 08:00:00,22.63
"283","YRK",2023-08-04 08:15:00,22.74
"284","YRK",2023-08-04 08:30:00,22.86
"285","YRK",2023-08-04 08:45:00,22.84
"286","YRK",2023-08-04 09:00:00,22.79
"287","YRK",2023-08-04 09:15:00,22.8
"288","YRK",2023-08-04 09:30:00,22.94
"289","YRK",2023-08-04 09:45:00,22.97
"290","YRK",2023-08-04 10:00:00,22.92
"291","YRK",2023-08-04 10:15:00,22.97
"292","YRK",2023-08-04 10:30:00,23
"293","YRK",2023-08-04 10:45:00,22.99
"294","YRK",2023-08-04 11:00:00,23
"295","YRK",2023-08-04 11:15:00,23
"296","YRK",2023-08-04 11:30:00,23
"297","YRK",2023-08-04 11:45:00,23
"298","YRK",2023-08-04 12:00:00,23.04
"299","YRK",2023-08-04 12:15:00,23.03
"300","YRK",2023-08-04 12:30:00,23.03
"301","YRK",2023-08-04 12:45:00,23.07
"302","YRK",2023-08-04 13:00:00,22.99
"303","YRK",2023-08-04 13:15:00,23.03
"304","YRK",2023-08-04 13:30:00,22.99
"305","YRK",2023-08-04 13:45:00,22.95
"306","YRK",2023-08-04 14:00:00,22.93
"307","YRK",2023-08-04 14:15:00,22.97
"308","YRK",2023-08-04 14:30:00,22.96
"309","YRK",2023-08-04 14:45:00,22.96
"310","YRK",2023-08-04 15:00:00,22.96
"311","YRK",2023-08-04 15:15:00,22.94
"312","YRK",2023-08-04 15:30:00,22.92
"313","YRK",2023-08-04 15:45:00,22.92
"314","YRK",2023-08-04 16:00:00,22.91
"315","YRK",2023-08-04 16:15:00,22.91
"316","YRK",2023-08-04 16:30:00,22.9
"317","YRK",2023-08-04 16:45:00,22.9
"318","YRK",2023-08-04 17:00:00,22.91
"319","YRK",2023-08-04 17:15:00,22.89
"320","YRK",2023-08-04 17:30:00,22.9
"321","YRK",2023-08-04 17:45:00,22.91
"322","YRK",2023-08-04 18:00:00,22.89
"323","YRK",2023-08-04 18:15:00,22.89
"324","YRK",2023-08-04 18:30:00,22.89
"325","YRK",2023-08-04 18:45:00,22.87
"326","YRK",2023-08-04 19:00:00,22.86
"327","YRK",2023-08-04 19:15:00,22.84
"328","YRK",2023-08-04 19:30:00,22.79
"329","YRK",2023-08-04 19:45:00,22.76
"330","YRK",2023-08-04 20:00:00,22.68
"331","YRK",2023-08-04 20:15:00,22.61
"332","YRK",2023-08-04 20:30:00,22.65
"333","YRK",2023-08-04 20:45:00,22.78
"334","YRK",2023-08-04 21:00:00,22.86
"335","YRK",2023-08-04 21:15:00,22.88
"336","YRK",2023-08-04 21:30:00,22.92
"337","YRK",2023-08-04 21:45:00,22.92
"338","YRK",2023-08-04 22:00:00,22.83
"339","YRK",2023-08-04 22:15:00,22.78
"340","YRK",2023-08-04 22:30:00,22.9
"341","YRK",2023-08-04 22:45:00,22.95
"342","YRK",2023-08-04 23:00:00,22.96
"343","YRK",2023-08-04 23:15:00,22.97
"344","YRK",2023-08-04 23:30:00,23.01
"345","YRK",2023-08-04 23:45:00,23.02
"346","YRK",2023-08-05,23.03
"347","YRK",2023-08-05 00:15:00,23.04
"348","YRK",2023-08-05 00:30:00,23.06
"349","YRK",2023-08-05 00:45:00,23.06
"350","YRK",2023-08-05 01:00:00,23.03
"351","YRK",2023-08-05 01:15:00,23.04
"352","YRK",2023-08-05 01:30:00,23.03
"353","YRK",2023-08-05 01:45:00,23.06
"354","YRK",2023-08-05 02:00:00,23.05
"355","YRK",2023-08-05 02:15:00,22.96
"356","YRK",2023-08-05 02:30:00,22.91
"357","YRK",2023-08-05 02:45:00,22.95
"358","YRK",2023-08-05 03:00:00,22.95
"359","YRK",2023-08-05 03:15:00,22.95
"360","YRK",2023-08-05 03:30:00,22.97
"361","YRK",2023-08-05 03:45:00,22.98
"362","YRK",2023-08-05 04:00:00,22.98
"363","YRK",2023-08-05 04:15:00,22.97
"364","YRK",2023-08-05 04:30:00,22.98
"365","YRK",2023-08-05 04:45:00,22.98
"366","YRK",2023-08-05 05:00:00,22.98
"367","YRK",2023-08-05 05:15:00,22.98
"368","YRK",2023-08-05 05:30:00,22.97
"369","YRK",2023-08-05 05:45:00,22.96
"370","YRK",2023-08-05 06:00:00,22.95
"371","YRK",2023-08-05 06:15:00,22.95
"372","YRK",2023-08-05 06:30:00,22.95
"373","YRK",2023-08-05 06:45:00,22.97
"374","YRK",2023-08-05 07:00:00,22.96
"375","YRK",2023-08-05 07:15:00,22.97
"376","YRK",2023-08-05 07:30:00,22.98
"377","YRK",2023-08-05 07:45:00,22.96
"378","YRK",2023-08-05 08:00:00,22.91
"379","YRK",2023-08-05 08:15:00,22.89
"380","YRK",2023-08-05 08:30:00,22.88
"381","YRK",2023-08-05 08:45:00,22.88
"382","YRK",2023-08-05 09:00:00,22.88
"383","YRK",2023-08-05 09:15:00,22.87
"384","YRK",2023-08-05 09:30:00,22.83
"385","YRK",2023-08-05 09:45:00,22.83
"386","YRK",2023-08-05 10:00:00,22.85
"387","YRK",2023-08-05 10:15:00,22.85
"388","YRK",2023-08-05 10:30:00,22.85
"389","YRK",2023-08-05 10:45:00,22.96
"390","YRK",2023-08-05 11:00:00,22.98
"391","YRK",2023-08-05 11:15:00,22.98
"392","YRK",2023-08-05 11:30:00,22.98
"393","YRK",2023-08-05 11:45:00,23.03
"394","YRK",2023-08-05 12:00:00,23.02
"395","YRK",2023-08-05 12:15:00,23.04
"396","YRK",2023-08-05 12:30:00,23.01
"397","YRK",2023-08-05 12:45:00,23
"398","YRK",2023-08-05 13:00:00,23
"399","YRK",2023-08-05 13:15:00,23
"400","YRK",2023-08-05 13:30:00,23
"401","YRK",2023-08-05 13:45:00,23
"402","YRK",2023-08-05 14:00:00,23
"403","YRK",2023-08-05 14:15:00,23
"404","YRK",2023-08-05 14:30:00,23.17
"405","YRK",2023-08-05 14:45:00,23.17
"406","YRK",2023-08-05 15:00:00,23.15
"407","YRK",2023-08-05 15:15:00,23
"408","YRK",2023-08-05 15:30:00,22.97
"409","YRK",2023-08-05 15:45:00,22.97
"410","YRK",2023-08-05 16:00:00,22.97
"411","YRK",2023-08-05 16:15:00,22.97
"412","YRK",2023-08-05 16:30:00,22.98
"413","YRK",2023-08-05 16:45:00,23
"414","YRK",2023-08-05 17:00:00,23.03
"415","YRK",2023-08-05 17:15:00,23.02
"416","YRK",2023-08-05 17:30:00,23.01
"417","YRK",2023-08-05 17:45:00,23.01
"418","YRK",2023-08-05 18:00:00,23.01
"419","YRK",2023-08-05 18:15:00,23.01
"420","YRK",2023-08-05 18:30:00,23.01
"421","YRK",2023-08-05 18:45:00,23
"422","YRK",2023-08-05 19:00:00,22.98
"423","YRK",2023-08-05 19:15:00,22.94
"424","YRK",2023-08-05 19:30:00,22.84
"425","YRK",2023-08-05 19:45:00,22.81
"426","YRK",2023-08-05 20:00:00,22.83
"427","YRK",2023-08-05 20:15:00,22.78
"428","YRK",2023-08-05 20:30:00,22.72
"429","YRK",2023-08-05 20:45:00,22.72
"430","YRK",2023-08-05 21:00:00,22.75
"431","YRK",2023-08-05 21:15:00,22.78
"432","YRK",2023-08-05 21:30:00,22.78
"433","YRK",2023-08-05 21:45:00,22.83
"434","YRK",2023-08-05 22:00:00,22.9
"435","YRK",2023-08-05 22:15:00,22.92
"436","YRK",2023-08-05 22:30:00,22.9
"437","YRK",2023-08-05 22:45:00,22.89
"438","YRK",2023-08-05 23:00:00,22.9
"439","YRK",2023-08-05 23:15:00,22.92
"440","YRK",2023-08-05 23:30:00,22.95
"441","YRK",2023-08-05 23:45:00,22.97
"442","YRK",2023-08-06,23
"443","YRK",2023-08-06 00:15:00,23.02
"444","YRK",2023-08-06 00:30:00,23.02
"445","YRK",2023-08-06 00:45:00,23.04
"446","YRK",2023-08-06 01:00:00,23.05
"447","YRK",2023-08-06 01:15:00,23.05
"448","YRK",2023-08-06 01:30:00,23.04
"449","YRK",2023-08-06 01:45:00,23.01
"450","YRK",2023-08-06 02:00:00,22.95
"451","YRK",2023-08-06 02:15:00,22.96
"452","YRK",2023-08-06 02:30:00,22.78
"453","YRK",2023-08-06 02:45:00,22.71
"454","YRK",2023-08-06 03:00:00,22.75
"455","YRK",2023-08-06 03:15:00,22.83
"456","YRK",2023-08-06 03:30:00,22.87
"457","YRK",2023-08-06 03:45:00,22.85
"458","YRK",2023-08-06 04:00:00,22.87
"459","YRK",2023-08-06 04:15:00,22.9
"460","YRK",2023-08-06 04:30:00,22.89
"461","YRK",2023-08-06 04:45:00,22.9
"462","YRK",2023-08-06 05:00:00,22.9
"463","YRK",2023-08-06 05:15:00,22.88
"464","YRK",2023-08-06 05:30:00,22.87
"465","YRK",2023-08-06 05:45:00,22.86
"466","YRK",2023-08-06 06:00:00,22.86
"467","YRK",2023-08-06 06:15:00,22.83
"468","YRK",2023-08-06 06:30:00,22.82
"469","YRK",2023-08-06 06:45:00,22.82
"470","YRK",2023-08-06 07:00:00,22.82
"471","YRK",2023-08-06 07:15:00,22.83
"472","YRK",2023-08-06 07:30:00,22.83
"473","YRK",2023-08-06 07:45:00,22.83
"474","YRK",2023-08-06 08:00:00,22.83
"475","YRK",2023-08-06 08:15:00,22.83
"476","YRK",2023-08-06 08:30:00,22.8
"477","YRK",2023-08-06 08:45:00,22.82
"478","YRK",2023-08-06 09:00:00,22.85
"479","YRK",2023-08-06 09:15:00,22.81
"480","YRK",2023-08-06 09:30:00,22.78
"481","YRK",2023-08-06 09:45:00,22.78
"482","YRK",2023-08-06 10:00:00,22.76
"483","YRK",2023-08-06 10:15:00,22.75
"484","YRK",2023-08-06 10:30:00,22.82
"485","YRK",2023-08-06 10:45:00,22.85
"486","YRK",2023-08-06 11:00:00,22.84
"487","YRK",2023-08-06 11:15:00,22.83
"488","YRK",2023-08-06 11:30:00,22.81
"489","YRK",2023-08-06 11:45:00,22.81
"490","YRK",2023-08-06 12:00:00,22.83
"491","YRK",2023-08-06 12:15:00,22.84
"492","YRK",2023-08-06 12:30:00,22.84
"493","YRK",2023-08-06 12:45:00,22.83
"494","YRK",2023-08-06 13:00:00,22.82
"495","YRK",2023-08-06 13:15:00,22.82
"496","YRK",2023-08-06 13:30:00,22.82
"497","YRK",2023-08-06 13:45:00,22.82
"498","YRK",2023-08-06 14:00:00,22.83
"499","YRK",2023-08-06 14:15:00,22.85
"500","YRK",2023-08-06 14:30:00,22.84
"501","YRK",2023-08-06 14:45:00,22.86
"502","YRK",2023-08-06 15:00:00,22.89
"503","YRK",2023-08-06 15:15:00,22.93
"504","YRK",2023-08-06 15:30:00,22.94
"505","YRK",2023-08-06 15:45:00,22.86
"506","YRK",2023-08-06 16:00:00,22.83
"507","YRK",2023-08-06 16:15:00,22.81
"508","YRK",2023-08-06 16:30:00,22.8
"509","YRK",2023-08-06 16:45:00,22.82
"510","YRK",2023-08-06 17:00:00,22.83
"511","YRK",2023-08-06 17:15:00,22.86
"512","YRK",2023-08-06 17:30:00,22.85
"513","YRK",2023-08-06 17:45:00,22.81
"514","YRK",2023-08-06 18:00:00,22.81
"515","YRK",2023-08-06 18:15:00,22.83
"516","YRK",2023-08-06 18:30:00,22.82
"517","YRK",2023-08-06 18:45:00,22.82
"518","YRK",2023-08-06 19:00:00,22.84
"519","YRK",2023-08-06 19:15:00,22.84
"520","YRK",2023-08-06 19:30:00,22.84
"521","YRK",2023-08-06 19:45:00,22.84
"522","YRK",2023-08-06 20:00:00,22.84
"523","YRK",2023-08-06 20:15:00,22.85
"524","YRK",2023-08-06 20:30:00,22.85
"525","YRK",2023-08-06 20:45:00,22.84
"526","YRK",2023-08-06 21:00:00,22.81
"527","YRK",2023-08-06 21:15:00,22.78
"528","YRK",2023-08-06 21:30:00,22.75
"529","YRK",2023-08-06 21:45:00,22.67
"530","YRK",2023-08-06 22:00:00,22.63
"531","YRK",2023-08-06 22:15:00,22.62
"532","YRK",2023-08-06 22:30:00,22.61
"533","YRK",2023-08-06 22:45:00,22.63
"534","YRK",2023-08-06 23:00:00,22.64
"535","YRK",2023-08-06 23:15:00,22.73
"536","YRK",2023-08-06 23:30:00,22.81
"537","YRK",2023-08-06 23:45:00,22.82
"538","YRK",2023-08-07,22.81
"539","YRK",2023-08-07 00:15:00,22.85
"540","YRK",2023-08-07 00:30:00,22.89
"541","YRK",2023-08-07 00:45:00,22.97
"542","YRK",2023-08-07 01:00:00,23.02
"543","YRK",2023-08-07 01:15:00,23.02
"544","YRK",2023-08-07 01:30:00,23.01
"545","YRK",2023-08-07 01:45:00,23.01
"546","YRK",2023-08-07 02:00:00,23
"547","YRK",2023-08-07 02:15:00,23
"548","YRK",2023-08-07 02:30:00,22.99
"549","YRK",2023-08-07 02:45:00,23
"550","YRK",2023-08-07 03:00:00,23
"551","YRK",2023-08-07 03:15:00,22.96
"552","YRK",2023-08-07 03:30:00,22.89
"553","YRK",2023-08-07 03:45:00,22.8
"554","YRK",2023-08-07 04:00:00,22.71
"555","YRK",2023-08-07 04:15:00,22.67
"556","YRK",2023-08-07 04:30:00,22.66
"557","YRK",2023-08-07 04:45:00,22.68
"558","YRK",2023-08-07 05:00:00,22.76
"559","YRK",2023-08-07 05:15:00,22.76
"560","YRK",2023-08-07 05:30:00,22.75
"561","YRK",2023-08-07 05:45:00,22.75
"562","YRK",2023-08-07 06:00:00,22.75
"563","YRK",2023-08-07 06:15:00,22.74
"564","YRK",2023-08-07 06:30:00,22.74
"565","YRK",2023-08-07 06:45:00,22.73
"566","YRK",2023-08-07 07:00:00,22.71
"567","YRK",2023-08-07 07:15:00,22.67
"568","YRK",2023-08-07 07:30:00,22.68
"569","YRK",2023-08-07 07:45:00,22.7
"570","YRK",2023-08-07 08:00:00,22.7
"571","YRK",2023-08-07 08:15:00,22.7
"572","YRK",2023-08-07 08:30:00,22.67
"573","YRK",2023-08-07 08:45:00,22.67
"574","YRK",2023-08-07 09:00:00,22.67
"575","YRK",2023-08-07 09:15:00,22.65
"576","YRK",2023-08-07 09:30:00,22.64
"577","YRK",2023-08-07 09:45:00,22.65
"578","YRK",2023-08-07 10:00:00,22.65
"579","YRK",2023-08-07 10:15:00,22.68
"580","YRK",2023-08-07 10:30:00,22.69
"581","YRK",2023-08-07 10:45:00,22.71
"582","YRK",2023-08-07 11:00:00,22.72
"583","YRK",2023-08-07 11:15:00,22.73
"584","YRK",2023-08-07 11:30:00,22.72
"585","YRK",2023-08-07 11:45:00,22.73
